"°cchānāmatantra","K428"
"(Sarvāstivāda)Bhikṣunīprātimokṣasūtra","K899"
"(Sarvāstivāda)Prātimokṣasūtra","K902"
"Sarvāstivādavinaya","K890"
"Sarvāstivādavinayamātṛkā","K935"
"Sarvāstivādavinayavibhāṣā","K941"
"Sarvatathāgatādhiṣṭhānahṛdayaguhyadhātukaraṇḍadhāraṇī(sūtra)","K1113"
"Sarvatathāgatādhiṣṭhānahṛdayaguhyadhātukaraṇḍamudrādhāraṇī(sūtra)","K1287"
"Sarvatathāgatādhiṣṭhānasattvāvalokanabuddhakṣetrasandarśanavyūharāja(dhāraṇī)sūtra","K458"
"Sarvatathāgatakāyavākcittarahasyaguhyasamājamahākalparāja","K1418"
"Sarvatathāgatatattvasaṁgraha(sūtra)","K1274;K1466"
"Sarvatathāgatatattvasaṃgraha(sūtra)","K429"
"Sarvatathāgatṣṇīṣavijayanāmadhāraṇīkalpasahitā","K323"
"Sarvavaidalyasaṃgraha(sūtra)","K147"
"Sarvavaidalyasaṃgrahasūtra","K148"
"Śata(ka)śāstra","K581"
"Śatapañcaśatikastotra","K1024"
"Śatasāhasrikāprajñāpāramitāsūtra","K1(1)"
"Satyasiddhiśāstra","K966"
"Śikṣāsamuccaya","K1488"
"Siṃhanādikasūtra","K242;K243"
"Siṃhaparipṛcchā(sūtra)","K22(37);K46;K47"
"Sirīvivartavyākaraṇa(sūtra)","K204;K205"
"Śraddhābāladhānāavatāramudrā(sūtra)","K81"
"Śrāvakabhūmi","K570"
"Śravanasyaputranadagupilāyakalparāja","K1251"
"Śṛgālavādasūtra","K656;K718"
"(Śrī)Susiddhikaratantrabhaṣitapraṇidhāna","K432"
"(Srī)vajramaṇḍālaṁkāramahātantrarāja","K1442"
"Śrīguptasūtra","K221"
"Śrīkaṇṭhasūtra","K374"
"Śrīmahādevīvyākaraṇa(sūtra)","K1284"
"Śrīmālā(devi)siṃhanāda(sūtra)","K22(48)"
"Śrīmālā(devī)siṃhanādasūtra","K54"
"Śrīmatībrāhmāṇiparipṛcchā(sūtra)","K489"
"Śrīmatībrāmaṇīparipṛcchā(sūtra)","K356"
"Śriparamādhyamantrākalpakhaṇḍa(sūtra)","K1256"
"Śrīsarvabhūtaḍāmaratantra(sūtra)","K1202"
"Strīvivartavyākaraṇa","(sūtra)","K233"
"Strīvivartavyākaraṇa(sūtra)","K231;K232"
"Subāhuparipṛcchā(sūtra)","K22(26);K428;K1152"
"Suhṛllekha","K1036;K1037;K1043"
"Sūkarikāvadāna(sūtra)","K1111"
"Śukasūtra","K695;K701;K805;K1098"
"Sukhāvatī(amṛta)vyūhasūtra","K192;KS51;KS58"
"Sukhāvatī(amṛta)vyūhasūtra.","KS6"
"Sukhāvatīvyūha","K1199"
"Sukhāvatīvyūha(sūtra)","K193"
"Sukhāvatīvyūhasūtra","K22(5);K24;K25;K26"
"Sukhāvatīvyūhopadeśa","K565"
"Sumāgadhavadāna(sūtra)","K1428"
"Sumāgadhāvadānasūtra","K723;K790"
"Sumatidārikāparipṛcchā(sūtra)","K22(30);K36;K39"
"Sumukhanāmadhāraṇī(sūtra)","K342;K343;K351"
"Sumukhanāmadhāraṇīsūtra","K1236"
"Śuraṅgamasamādhisūtra","K378"
"Śuraṅgamasūtra","K426"
"Surataparipṛcchā(sūtra)","K22(27);K362"
"Surūpadhāraṇī(sūtra)","K1224c"
"Sūryasūtra","K650"
"Susiddhikaramahātantrasādhanopāyikapaṭala(sūtra)","K432"
"Susiddhikarapūjāvidhi","K431"
"Suṣṭhitamati(devaputra)paripṛcchā(sūtra)","K22(36);K44;K45"
"Sūtrālaṅkāraśāstra","K587"
"Sūtrasamuccaya","K1475"
"Suvarṇaprabhasa(uttamarāja)sūtra","KS12"
"Suvarṇaprabhāsa(uttamarāja)sūtra","K127;K128;K1465"
"Suvarṇavarṇāvadāna","K1483"
"Suvikrānta(cintā)devaputraparipṛcchā(sūtra)","K372"
"Suvikrāntavikrāmiparipṛcchāprajñāpāramitāsūtra","K1(6);K1(16);K8"
"(Sv)Alpadevatā(sūtra)","K650"
"Svapnanirdeśasūtra","K22(4)"
"Śyāmakajātakasūtra","K208"
"Tārādevīnāmāṣṭaśataka(sūtra)","K1131"
"Tarkaśāstra","K626"
"Tathāgatagarbhasūtra","K360;K413;K1359"
"Tathāgataguhyasūtra","K22(3);K1486"
"Tathāgataguṇajñānācintyaviṣayāvatāranirdeśa(sūtra)","K82;K85;K86"
"Tathāgatahṛdayapāpadeśanāvidhisahitaśatākṣararakṣā","K1488"
"Tathāgatajñānamudrā(samādhi)(sūtra)","K172;K173"
"Tathāgatamahākaruṇānirdeśa(sūtra)","K72"
"Tathāgatānāṃ","Buddhakṣetraguṇoktadharmaparyāya(sūtra)","K101"
"Tathāgatānāṁbuddhakṣetraguṇoktadharmaparyāya(sūtra)","K1217"
"Tathāgatapratibimbapratiṣṭhanuśaṃsā(sūtra)","K280;K281"
"Tathāgatapratibimbapratiṣṭhānuśaṃsā(sūtra)","K419"
"Tathāgataśrīsamaya(sūtra)","K59"
"Tathāgatotpattisambhavanirdeśa(sūtra)","K99"
"Trailokyavijayamahākalparāja","K1280"
"Trailokyavijayamahākalparājā","K1350"
"Triṁśikā(kārikā)","K612"
"Triṃśikā(kārikā)","K609"
"Trisamayarāja","K1285"
"Trisaṃvaranirdeśa(sūtra)","K22(1)"
"Trisaṃvaranirdeśaparivarta(sūtra)","K23"
"Triśatikāyāprajñāpāramitāyāḥkārikāsaptati","K556"
"Triskandhaka(sūtra)","K546"
"Udayanavatsarājaparipṛcchā(sūtra)","K22(29);K38"
"Udayanavatsarājaparipṛcchānāmaparivarta","K1100"
"Ugra(datta)paripṛcchā(sūtra)","K22(19);K32;K33"
"Upālipariprcchā","K921"
"Upāliparipṛcchā","K1303"
"Upāliparipṛcchā(sūtra)","K22(24);K35"
"Upāsakāśīlasūtra","K526"
"Upasikābrahmacāryadharmaparyāyasūtra","K500"
"Upāyahṛdaya","K627"
"(Upāyakauśalya)jñānottarabodhisattvaparipṛcchā(sūtra)","K22(38);K48;K1424"
"Uṣṇīṣacakravartitantra(sūtra)","K1277"
"Vaiśeṣikadaśapadārthaśāstra","K1045"
"Vajrabhairava","K1214"
"Vajracchedikānāmatriśatikāprajñāpāramitā","K13"
"Vajracchedikāprajñāpāramitāsūtra","K1(9);K13;K14;K15;K16;K17
"Vajracchedikāprajñāpāramitāsūtraśāstra","K555;K557;K558"
"Vajracchedikāprajñāpāramitāsūtraśāstrakārikā","K556"
"Vajragarbharatnarājatantra","(sūtra)","K1203"
"Vajrakumāratantra","K1355"
"Vajramaṇḍādhāranī(sūtra)","K336;K337"
"Vajrasamādhi(sūtra)","K521"
"Vajrasūcīśāstra","K1132"
"Varmavyūhanirdeśa(sūtra)","K22(7)"
"Vastusaṃgrāha","K570"
"Vasudhārādhāraṇī","K1295"
"Vasudhārādhāraṇī(sūtra)","K448;K1125"
"Vasudhārādhāraṇisūtra","K1094"
"Vatsasūtra","K229;K230"
"Vibhāṣā(śāstra)","K971"
"Vibhāṣāvinaya","K937"
"Vidyutprāptaparipṛcchā(sūtra)","K22(20)"
"Vigrahavyāvartanī","K630"
"Vijñaptimātratāsiddhiśāstra","K614"
"Vikurvāṇarājaparipṛcchā(sūtra)","K75;K76"
"Vimaladattāparipṛcchā(sūtra)","K22(33);K41;K42"
"Vimalakīrtinirdeśasūtra","K119;K120;K121;K122;K123;K124"
"Viṃśaka","K608"
"Viṁśatikāvṛtti","K610;K613"
"Viṃśatikāvṛtti","K608"
"Vinayasaṃgrāha","K570"
"Vinayavastu","K1389;K1390;K1391;K1392;K1393;K1394;K1395"
"Viniścayasaṃgrāha","K570"
"Vīradatta(gṛhapati)paripṛcchā(sūtra)","K22(28);K369;K1468"
"Viśesacintabrahmaparipṛcchāśāstra","K562"
"Viśeṣavatīnamadhāraṇī(sūtra)","K1169(XXXIV:91)"
"Viśeṣavatīnāmadhāraṇī(sūtra)","K1188"
"Vivaraṇasaṃgrāha","K570"
"vyākhyā","K953"
"Vyāsaparipṛcchā(sūtra)","K22(49);K55"
"Yogācār(y)abhūmiśāstra","K570"
"Yogacārabhūmi","K984;K1003"
"Yogācāryabhūmi","K570"
"Yogācāryabhūmiśāstrakārikā","K575"
"Yuktiṣaṣṭikākārikā","K1441"
