Koreana ID,Title (Chinese),volume start,page start,page end ,volume end,Taisho ID,Title (Korean),Other IDs,,
K 215,大乘遍照光藏無字法問經,20,401,404,20,T830,대승편조광장무자법문경,"(XI:389),(H. 800)",,
K 216,老女人經,20,405,406,20,T559,노여인경,"(XI:393),(H. 514)",,
K 217,老母經,20,407,408,20,T561,노모경,"(XI:395),(H.543)",,
K 218,老母女六英經,20,409,410,20,T560,노모녀육영경,"(XI:397),(H. 542)",,
K 219,月光童子經,20,411,414,20,T534,월광동자경,"(XI:399),(H. 518)",,
K 220,申日兒本經,20,415,416,20,T536,신일아본경,"(XI:403),(H. 520)",,
K 221,德護長者經,20,417,430,20,T545,덕호장자경,"(XI:405),(H. 528)",,
K 222,文殊師利問菩提經,20,431,434,20,T464,문수사리문보제경,"(XI:419),(H. 450)",,
K 223,伽耶山頂經,20,435,440,20,T465,가야산정경,"(XL423),(H. 451)",,
K 224,象頭精舍經,20,441,446,20,T466,상두정사경,"(XI:429),(H. 452)",,
K 225,大乘伽耶山頂經,20,447,450,20,T467,대승가야산정경,"(XI:435),(H. 453)",,
K 226,長者子制經,20,451,452,20,T526,장자자제경,"(XI:439),(H. 510)",,
K 227,菩薩逝經,20,453,454,20,T528,보살서경,"(XI:441),(H. 512)",,
K 228,逝童子經,20,455,456,20,T527,서동자경,"(XI:443),(H. 511)",,
K 229,犢子經,20,457,458,20,T808,독자경,"(XI:445),(H. 778)",,
K 230,乳光佛經,20,459,462,20,T809,유광불경,"(XI:447),(H. 780)",,
K 231,無垢賢女經,20,463,464,20,T562,무구현녀경,"(XI:451),(H. 544)",,
K 232,腹中聽經,20,465,466,20,T563,복중청경,"(XL453),(H. 545)",,
K 233,轉女身經,20,467,476,20,T564,전녀신경,"(XI-.455),(H. 546)",,
K 234,申日經,20,477,480,20,T535,신일경,"(XL465),(H. 519)",,
K 235,無上依經,20,481,496,20,T669,무상의경,"(XI: 469),(H. 646)",,
K 236,甚希有經,20,497,500,20,T689,심희유경,"(XI:485),(H. 665)",,
K 237,未曾有經,20,501,502,20,T688,미증유경,"(XI:489),(H. 664)",,
K 238,決定總持經,20,503,506,20,T811,결정총지경,"(XI-491),(H. 781)",,
K 239,謗佛經,20,507,510,20,T831,방불경,"(XI: 495),(H. 801)",,
K 240,寶積三昧文殊師利菩薩問法身經,20,511,514,20,T356,빈자삼매문수사리보살문법신경,"(XI:499),(H. 346)",,
K 241,入法界體性經,20,515,520,20,T355,입법계체성경,"(XI:503),(H. 345)",,
K 242,如來師子吼經,20,521,524,20,T835,여래사자후경,"(XI:509),(H. 805)",,
K 243,大方廣師子吼經,20,525,528,20,T836,대방광사자후경,"(x:513),(H. 806)",,
K 244,大乘百福相經,20,529,532,20,T661,대승백복상경,"(XI:517),(H. 638)",,
K 245,大乘百福莊嚴相經,20,533,536,20,T662,대승백복장엄상경,"(XI:521),(H. 639)",,
K 246,大乘四法經,20,537,538,20,T772,대승사법경,"(M:525),(H. 743)",,
K 247,菩薩修行四法經,20,539,540,20,T773,보살수행사법경,"(XI:527),(H. 744)",,
K 248,善恭敬經,20,541,544,20,T1495,선공경경,"(XL529),(H. 1232)",,
K 249,希有校量功德經,20,545,548,20,T690,희유교량공덕경,"(XL533),(H. 666)",,
K 250,最無比經,20,549,554,20,T691,최무비경,"(XI:537),(H. 667)",,
K 251,前世三轉經,20,555,558,20,T178,전세삼전경,"(XI:543),(H. 178)",,
K 252,銀色女經,20,559,562,20,T179,은색녀경,"(XI:547),(H. 179)",,
K 253,阿闍世王授決經,20,563,564,20,T509,아도세왕수결경,"(XI:551),(H. 493)",,
K 254,採花違王上佛授決號妙花經,20,565,566,20,T510,채화위왕상불수결호묘화경,"(XI:553),(H. 494)",,
K 255,正恭敬經,20,567,570,20,T1496,정공경경,"(XL555),(H. 1233)",,
K 256,稱讚大乘功德經,20,571,574,20,T840,칭찬대승공덕경,"(XL-559),(H. 810)",,
K 257,說妙法決定業障經,20,575,576,20,T841,설묘법결정업장경,"(XI:563),(H. 811)",,
K 258,如來示教勝軍王經,20,577,580,20,T515,여래시교승군왕경,"(XI:565),(H. 499)",,
K 259,緣起聖道經,20,581,584,20,T714,연기성도경,"(XL569),(H. 689)",,
K 260,諫王經,20,585,586,20,T514,간왕경,"(XI:573),(H.498)",,
K 261,佛爲勝光天子說王法經,20,587,590,20,T593,불위승광천자설왕법경,"(XL575),(H. 575)",,
K 262,浴佛功德經,20,591,592,20,T698,욕불공덕경,"(XI:579),(H. 674)",,
K 263,曼殊室利咒藏中校量數珠功德經,20,593,594,20,T787,만수실리주장중교량수주공덕경,"(XI:581),(H. 758)",,
K 264,大方等修多羅王經,20,595,596,20,T575,대방등수다라왕경,"(XL583),(H. 557)",,
K 265,文殊師利巡行經,20,597,600,20,T470,문수사리순행경,"(XI:585),(H. 456)",,
K 266,轉有經,20,601,602,20,T576,전유경,"(XI:589),(H. 558)",,
K 267,文殊尸利行經,20,603,606,20,T471,문수시리행경,"(XI:591),(H. 457)",,
K 268,了本生死經,20,607,610,20,T708,료본생사경,"(XI:595),(H. 684)",,
K 269,貝多樹下思惟十二因經,20,611,612,20,T713,패다수하사유십이인,"(XI:599),(H. 688)",,
K 270,龍施女經,20,613,614,20,T557,룡시녀경,"(XI:601),(H. 539)",,
K 271,八吉祥神咒經,20,615,616,20,T427,발길상신주경,"(XL603),(H. 414)",,
K 272,稻芋經,20,617,620,20,T709,도우경,"(XI:605),(H.685)",,
K 273,自誓三昧經,20,621,624,20,T622,자서삼매경,"(XI:609),(H. 602)",,
K 274,如來獨證自誓三昧經,20,625,628,20,T623,여래독증자서삼매경,"(XI :613),(H. 603)",,
K 275,龍施菩薩本起經,20,629,630,20,T558,룡시보살본기경,"(XI :617),(H. 540)",,
K 276,八陽神咒經,20,631,632,20,T428,발양신주경,"(XI :619),(H.415)",,
K 277,盂蘭盆經,20,633,634,20,T685,우란분경,"(XI :621),(H. 661)",,
K 278,灌洗佛形像經,20,635,636,20,T695,관세불형상경,"(XI :623),(H. 671)",,
K 279,摩訶刹頭經,20,637,638,20,T696,마가찰두경,"(XI :625),(H. 672)",,
K 280,造立形像福報經,20,639,640,20,T693,조립형상복보경,"(XI-627),(H. 669)",,
K 281,作佛形像經,20,641,642,20,T692,작불형상경,"(XI :629),(H. 668)",,
K 282,八佛名號經,20,643,644,20,T431,팔불명호경,"(XI:631),(H.418)",,
K 283,報恩奉盆經,20,645,646,20,T686,보은봉분경,"(XI:633),(H. 663)",,
K 284,浴像功德經,20,647,648,20,T697,욕상공덕경,"(XI :635),(H. 673)",,
K 285,校量數珠功德經,20,649,650,20,T788,교량수주공덕경,"(XI :637),(H. 759)",,
K 286,八吉祥經,20,651,652,20,T430,발고상경,"(XI:639),(H.417)",,
K 287,不空羂索神變眞言經,20,653,191,21,T1092,불공견삭신변진언경,"(XI:641),(H. 961)",,
K 288,不空羂索咒經,21,192,197,21,T1093,불공견삭주경,"(XI :893),(H.954)",,
K 289,不空羂索神咒心經,21,198,203,21,T1094,불공견삭신주심경,"(XI :899),(H. 955)",,
K 290,不空羂索陀羅尼自在王咒經,21,204,221,21,T1097,불공견삭타라니자재왕주경,"(XI:905),(H. 962)",,
K 291,不空羂索陀羅尼經,21,222,239,21,T1096,불공견삭타라니경,"(XI:923),(H. 956)",,
K 292,千眼千臂觀世音菩薩陀羅尼神咒經,21,240,249,21,,천안천비관세음보살타라니신주경,"(XI :941),(T: 1057b),(H. 937)",,
K 293,千手千眼觀世音菩薩姥陀羅尼身經,21,250,261,21,T1058,천수천안관세음보살모타라니신경,"(XI:951),(H. 938)",,
K 294,千手千眼觀世音菩薩廣大圓滿無礙大悲心陀羅尼經,21,262,271,21,T1060,천수천안관세음보살광대원만무애대비심타라니경,"(XI:963),(H. 939)",,
K 295,觀世音菩薩如意摩尼陀羅尼經,21,272,275,21,T1083,관세음보살여의마니타라니경,"(XI :973),(H. 951)",,
K 296,觀世音菩薩祕密藏如意輪陀羅尼咒經,21,276,279,21,T1082,관세음보살비밀장여의륜타라니,"(XI :977),(H.950)",,
K 297,觀自在菩薩如意心陀羅尼呪經,21,280,281,21,T1081,관자재보살여의심타라니주경,"(XI :981),(H. 949)",,
K 298,如意輪陀羅尼經,21,282,293,21,T1080,여의륜타라니경,"(XI :983),(H. 948)",,
K 299,大方廣菩薩藏經中文殊師利根本一字陀羅尼經,21,294,295,21,T1181,대방광보살장경중문수사리근본일자타라니경,"(XI:995),(H. 1020)",,
K 300,曼殊室利菩薩呪藏中一字咒王經,21,296,297,21,T1182,만수실리보살주장중일자주왕경,"(XI:997),(H. 1021)",,
K 301,十二佛名神咒校量功德除障滅罪經,21,298,301,21,T1348,십이불명신주교량공덕제장멸죄경,"(XI :999),(H. 1091)",,
K 302,稱讚如來功德神咒經,21,302,303,21,T1349,칭찬여래공덕신주경,"(XI:1003),(H. 1092)",,
K 303,大孔雀呪王經,21,304,331,21,T985,대공작주왕경,"(x1:1005),(H. 879)",,
K 304,孔雀王咒經,21,332,337,21,T988,공작왕주경,"(XI:1033),(H. 875)",,
K 305,大金色孔雀王咒經,21,338,339,21,T986,대김색공작왕주경,"(XI:1039),(H. 873)",,
K 306,大金色孔雀王咒經,21,340,343,21,T987,대김색공작왕주경,"(XI:1041),(H. 874)",,
K 307,孔雀王咒經,21,344,361,21,T984,공작왕주경,"(XI:1045),(H. 878)",,
K 308,陀羅尼集經,21,362,523,21,T901,타라니집경,"(XI:1063),(H. 842)",,
K 309,十一面觀世音神呪經,21,524,529,21,T1070,십일면관세음신주경,"(XI:1225),(H. 943)",,
K 310,十一面神咒心經,21,530,535,21,T1071,십일면신주심경,"(XI:1231),(H. 944)",,
K 311,摩利支天陀羅尼呪經,21,536,537,21,T1256,마리지천타라니주경,"(XI:123 7),(H. 1052)",,
K 312,咒五首,21,538,539,21,T1034,주오수,"(XI:1239),(H. 917)",,
K 313,千轉陀羅尼觀世音菩薩咒,21,540,541,21,T1035,천전타라니관세음보살주,"(XI:1241),(H. 918)",,
K 314,七倶胝佛母心大准提陀羅尼經,21,542,543,21,T1077,칠구지불모심대준제타라니경,"(XI :1243),(H. 947)",,
K 315,七倶胝佛母准提大明陀羅尼經,21,544,551,21,T1075,칠구지불모준제대명타라니경,"(XI:1245),(H. 945)",,
K 316,六字神咒經,21,552,553,21,T1180,육자신주경,"(XI :1253),(H. 1019)",,
K 317,觀自在菩薩隨心咒經,21,554,563,21,T1103a,관자재보살수심주경,"(XI:1255),(H. 967)",,
K 318,種種雜咒經,21,564,567,21,T1337,종종잡주경,"(XI:1265),(H. 1081)",,
K 319,佛頂尊勝陀羅尼經,21,568,571,21,T968,불정존승타라니경,"(XI:1269),(H. 866)",,
K 320,佛頂最勝陀羅尼經,21,572,575,21,T969,불정최승타라니경,"(XI:1273),(H. 867)",,
K 321,佛頂尊勝陀羅尼經,21,576,579,21,T1967,불정존승타라니경,"(XI:1277),(H. 865)",,
K 322,最勝佛頂陀羅尼淨除業障呪經,21,580,587,21,T970,최승불정타라니정제업장주경,"(XI:1281),(H. 876)",,
K 323,佛頂尊勝陀羅尼經,21,588,593,21,T971,불정존승타라니경,"(XI:1289),(H. 868)",,
K 324,無量門微密持經,21,594,597,21,T1011,무량문미밀지경,"(XI:1295),(H. 898)",,
K 325,出生無量門持經,21,598,601,21,T1012,출생무량문지경,"(XI: 1299),(H. 899)",,
K 326,無量門破魔陀羅尼經,21,602,607,21,T1014,무량문파마타라니경,"(XI:1303),(H. 901)",,
K 327,阿難陀目佉尼訶離陀經,21,608,613,21,T1013,아난타목구니가리타경,"(XI:1309),(H. 900)",,
K 328,阿難陀目佉尼訶離陀鄰尼經,21,614,619,21,T1015,아난타목구니가리타린니경,"(XI:1315),(H. 902)",,
K 329,舍利弗陀羅尼經,21,620,623,21,T1016,사리불타라니경,"(XI:1321),(H. 903)",,
K 330,一向出生菩薩經,21,624,629,21,T1017,일향출생보살경,"(XI:1325),(H. 904)",,
K 331,出生無邊門陀羅尼經,21,630,637,21,T1018,출생무변문타라니경,"(XI:1331),(H. 905)",,
K 332,勝幢臂印陀羅尼經,21,638,639,21,T1363,승당비인타라니경,"(XI:1339),(H. 1104)",,
K 333,妙臂印幢陀羅尼經,21,640,641,21,T1364,묘비인당타라니경,"(XI:1341),(H. 1105)",,
K 334,無崖際惣持法門經,21,642,649,21,T1342,무애제총지법문경,"(XII:1),(H. 1083)",,
K 335,尊勝菩薩所問一切諸法入無量門陀羅尼經,21,650,658,21,T1343,존승보살소문일체제법입무량문타라니경,"(XII:9),(H. 1084)",,
K 336,金剛上味陀羅尼經,21,659,665,21,T1344,김강상미타라니경,"(XII:18),(H. 1805)",,
K 337,金剛場陀羅尼經,21,666,672,21,T1345,김강장타라니경,"(XII:25),(H. 1088)",,
K 338,如來方便善巧咒經,21,673,677,21,T1334,여래방편선교주경,"(XII:32),(H. 1078)",,
K 339,花聚陀羅尼咒經,21,678,679,21,T1358,화취타라니주경,"(XII:37),(H. 1101)",,
K 340,師子奮迅菩薩所問經,21,680,681,21,T1357,사자분신보살소문경,"(XII:39),(H. 1100)",,
K 341,六字咒王經,21,682,684,21,T1044,육자주왕경,"(XII:41),(H. 925)",,
K 342,善法方便陀羅尼經,21,685,687,21,T1137,타선법방편타라니경,"(XII:44),(H. 991)",,
K 343,金剛祕密善門陀羅尼呪經,21,688,689,21,T1138a,금강비밀,"(XII:47),(H. 992)",,
K 344,華積陀羅尼神咒經,21,690,690,21,T1356,화자타라니신주경,"(XII:49),(H. 1099)",,
K 345,六字神咒王經,21,691,693,21,T1045b,육자신주왕경,"(XII:50),(H. 926)",六字咒王經,
K 346,虛空藏菩薩問七佛陀羅尼咒經,22,9,14,22,T1333,허공장보살문칠불타라니주경,"(XII:53),(H. 1077)",,
K 347,持句神咒經,22,15,15,22,T1351,지구신주경,"(XII:59),(H. 1094)",,
K 348,陀鄰尼鉢經,22,16,17,22,T1352,타린니발경,"(XII:60),(H. 1095)",,
K 349,東方最勝燈王陀羅尼經,22,18,21,22,T1353,동방최승등왕타라니경,"(XII: 62),(H. 1096)",,
K 350,東方最勝燈王如來經,22,22,27,22,T1354,동방최승등왕여래경,"(XII:66),(H. 1097)",,
K 351,護命法門神咒經,22,28,32,22,T1139,호명법문신주경,"(XII:72),(H. 993)",,
K 352,無垢淨光大陀羅尼經,22,33,38,22,T1024,무구정광대타라니경,"(XII:77),(H. 909)",,
K 353,請觀世音菩薩消伏毒害陀羅尼呪經,22,39,44,22,T1043,청관세음보살소복독해타라니주경,"(XII:83),(H. 924)",,
K 354,寶網經,22,45,56,22,T433,보망경,"(XII: 89),(H. 420)",,
K 355,菩薩行五十緣身經,22,57,59,22,T812,보살행오십연신경,"(XII:101),(H. 782)",,
K 356,梵志女首意經,22,60,62,22,T567,범지녀수의경,"(XII:104),(H. 549)",,
K 357,四不可得經,22,63,65,22,T770,사불가득경,"(XII:107),(H. 741)",,
K 358,私呵昧經,22,66,71,22,T532,사가매경,"(XII:110),(H. 516)",,
K 359,菩薩生地經,22,72,73,22,T533,보살생지경,"(XII:116),(H. 517)",,
K 360,大方等如來藏經,22,74,78,22,T666,대방등여래장경,"(XII:118),(H. 643)",,
K 361,內藏百寶經,22,79,82,22,T807,내장백보경,"(XII:123),(H. 777)",,
K 362,須賴經,22,83,91,22,T329,수뢰경,"(XII:127),(H. 318)",,
K 363,成具光明定意經,22,92,102,22,T630),성구광명정의경,"(XII:136),(H. 610)",,
K 364,演道俗業經,22,103,107,22,T820,연도속업경,"(XII:147),(H. 790)",,
K 365,百佛名經,22,108,110,22,T444,백불경,"(XII:152),(H. 430)",,
K 366,諸德福田經,22,111,113,22,T683,제덕복전경,"(XII:155),(H. 659)",,
K 367,溫室洗浴衆僧經,22,114,115,22,T701,온실세욕중승경,"(XII:158),(H. 677)",,
K 368,佛語經,22,116,117,22,T832,불어경,"(XII:160),(H. 802)",,
K 369,菩薩修行經,22,118,121,22,T330,보살수행경,"(XII:162),(H. 321)",,
K 370,金色王經,22,122,125,22,T162,김색왕경,"(XU:166),(H. 162)",,
K 371,稱揚諸佛功德經,22,126,153,22,T434,칭양제불공덕경,"(XII:170),(H. 421)",,
K 372,須眞天子經,22,154,176,22,T588,수진천자경,"(XII:198),(H. 570)",,
K 373,摩訶摩耶經,22,177,189,22,T383,마가마야경,"(XII:221),(H. 370)",,
K 374,除恐災患經,22,190,198,22,T744,제공재환경,"(XII:234),(H. 717)",,
K 375,孛經抄,22,199,201,22,T790,발경초,"(XII:243),(H. 761)",,
K 376,觀世音菩薩授記經,22,208,214,22,T371,관세음보살수기경,"(XII:252),(H. 358)",,
K 377,海龍王經,22,215,250,22,T598,해룡왕경,"(XII:259),(H. 580)",,
K 378,首楞嚴三昧經,22,251,275,22,T642,수릉엄삼매경,"(XII:295),(H. 621)",,
K 379,觀藥王藥上二菩薩經,22,276,284,22,T1161,관약왕약상이보살경,"(XII:320),(H. 1005)",,
K 380,觀普賢菩薩行法經,22,285,292,22,T277,관보현보살행법경,"(XII:329),(H. 270)",,
K 381,不思議光菩薩所說經,22,293,298,22,T484,부사의광보살소설경,"(XII:337),(H. 470)",,
K 382,最勝問菩薩十住除垢斷結經,22,299,422,22,T309,최승문보살십주제구단결경,"(XII:343),(H. 301)",,
K 383,未曾有因緣經,22,423,442,22,T754,미증유인연경,"(XII:467),(H. 726)",,
K 384,諸佛要集經,22,443,463,22,T810,제불요집경,"(XII:487),(H. 780)",,
K 385,菩薩瓔珞經,22,464,631,22,T656,보살영락경,"(XII:508),(H. 634)",,
K 386,超日明三昧經,22,632,655,22,T638,초일명삼매경,"(XII:676),(H. 617)",,
K 387,賢劫經,22,656,72,23,T425,현겁경,"(XII:700),(H. 412)",,
K 388,大法炬陀羅尼經,23,73,217,23,T1340,대법거타라니경,"(XII:791),(H. 1086)",,
K 389,大威德陀羅尼經,23,218,347,23,T1341,대위덕타라니경,"(XII:936),(H. 1087)",,
K 390,佛名經,23,348,473,23,T440,불명경,"(XII:1066),(H.427)",,
K 391,過去莊嚴劫千佛名經,23,474,483,23,T446,과거장엄겁천불명경,"(XII:1192),(H. 432)",,
K 392,現在賢劫千佛名經,23,484,496,23,T447,현재현겁천불명경,"(X11:1202),(H. 433)",,
K 393,未來星宿劫千佛名經,23,497,506,23,T448,미래성숙겁천불명경,"(XII:1215),(H. 434)",,
K 394,五千五百佛名神呪除障滅罪經,23,507,563,23,T443,오천오백불명신주제장멸죄경,"(XII:1225),(H. 429)",,
K 395,不思議功德諸佛所護念經,23,564,579,23,T445,부사의공덕제불소호념경,"(XII:1282),(H. 431)",,
K 396,華手經,23,580,692,23,T657,화수경,"(X11:1298),(H. 636)",,
K 397,大方等陀羅尼經,24,8,39,24,T1339,대방등타라니경,"(XIII:1),(H. 1082)",,
K 398,僧伽吒經,24,40,65,24,T423,승가타경,"(XIII:32),(H. 410)",,
K 399,力莊嚴三昧經,24,66,84,24,T647,력장엄삼매경,"(XIII:57),(H. 626)",,
K 400,大方廣圓覺修多羅了義經,24,84,97,24,T842,대방광원각수다라료의경,"(XIII:75),(H. 812)",,
K 401,觀佛三昧海經,24,97,175,24,T643,관불삼매해경,"(XIII:88),(H. 622)",,
K 402,大方便佛報恩經,24,176,238,24,T156,대방편불보은경,"(XIII:166),(H. 157)",,
K 403,菩薩本行經,24,238,261,24,T155,보살본행경,"(XIII:228),(H. 156)",,
K 404,法集經,24,261,321,24,T761,법집경,"(XIII:251),(H. 733)",,
K 405,觀察諸法行經,24,322,351,24,T649,관찰제법행경,"(XIII:312),(H. 628)",,
K 406,菩薩處胎經,24,351,409,24,T384,보살처태경,"(XIII:341),(H. 371)",菩萨从兜术天降神母胎说广普经,
K 407,弘道廣顯三昧經,24,410,436,24,T635,홍도광현삼매경,"(XIII:399),(H. 614)",,
K 408,施燈功德經,24,436,442,24,T702,시등공덕경,"(XI 1:425),(H. 678)",,
K 409,無所有菩薩經,24,443,473,24,T485,무소유보살경,"(XIH:432),(H. 471)",,
K 410,央掘魔羅經,24,473,511,24,T120,앙굴마라경,"(XIII:462),(H. 383)",,
K 411,明度五十校計經,24,512,530,24,T397[*17],명도오십교계경,"(XIII:501),(H. 383)",,
K 412,文殊師利問經,24,531,555,24,T468,문수사리문경,"(XIII:520),(H. 454)",,
K 413,大方廣如來祕密藏經,24,556,567,24,T821,대방광여래비밀장경,"(XIII:545),(H. 791)",,
K 414,中陰經,24,567,581,24,T385,중음경,"(XIII:556),(H. 372)",,
K 415,月上女經,24,581,593,24,T480,월상녀경,"(XIII:570),(H. 466)",,
K 416,大法鼓經,24,594,608,24,T270,대법고경,"(XIII:583),(H. 263)",,
K 417,大乘密嚴經,24,609,636,24,T681,대승밀엄경,"(XIII: 598),(H. 657)",,
K 418,文殊師利問菩薩署經,24,637,646,24,T458,문수사리문보살서경,"(XIII:626),(H. 472)",,
K 419,大乘造像功德經,24,647,656,24,T694,대승조상공덕경,"(XIII:636),(H. 670)",,
K 420,蓮華面經,24,657,667,24,T386,련화면경,"(XIII:646),(H. 373)",,
K 421,占察善惡業報經,24,668,681,24,T839,점찰선악업보경,"(XIII:657),(H. 809)",,
K 422,廣大寶樓閣善住祕密陀羅尼經,24,682,701,24,T1006,광대보루각선주비밀타라니경,"(XUI:671),(H. 894)",,
K 423,五佛頂三昧陀羅尼經,25,13,45,25,T952,오불정삼매타라니경,"(XIII:691),(H. 857)",,
K 424,大陀羅尼末法中一字心咒經,25,46,52,25,T956,대타라니말법중일자심주경,"(XIH:724),(H. 861)",,
K 425,一字佛頂輪王經,25,53,114,25,T951,일자불정륜왕경,"(XM:731),(H. 856)",,
K 426,大佛頂如來密因修證了義諸菩薩萬行首楞嚴經,25,115,185,25,T945,대불정여래밀인수증료의제보살만행수릉엄경,"(XIII:793),(H. 853)",,
K 427,大毘盧遮那成佛神變加持經,25,185,248,25,T848,대비로차나성불신변가지경,"(XIII:863),(H. 817)",,
K 428,蘇婆呼童子請問經,25,249,273,25,T895,소파호동자청경,"(XIII:927),(H. 840)",,
K 429,金剛頂瑜伽中略出念誦經,25,274,316,25,T866,김강정유가중략출념송경,"(XIII:952),(H. 821)",,
K 430,牟梨曼陀羅呪經,25,317,333,25,T1007,모리만타라주경,"(XIII:995),(H. 895)",,
K 431,蘇悉地羯羅供養法,25,333,349,25,T894,소실지갈라공양법,"(XIII:1011),(H. 839)",,
K 432,蘇悉地羯羅經,25,349,395,25,T893,소실지갈라경,"(XIII:1027),(H. 838)",,
K 433,七佛八菩薩所說大陀羅尼神呪經,25,396,430,25,T1332,칠불발보살소설대타라니신주경,"(XIII:1074),(H. 1076)",,
K 434,大吉義呪經,25,431,449,25,T1335,대길의주경,"(XIII:1109),(H. 1079)",,
K 435,文殊師利法寶藏陀羅尼經,25,450,458,25,T1185a,문수사리법보장타라니경,"(XIII:1128),(H. 1022)",,
K 436,金剛光焰止風雨陀羅尼經,25,459,469,25,T1027b,김강광염지풍우타라니경,"(XIII:1137),(H. 911)",,
K 437,安宅神咒經,25,470,471,25,T1394,안택신주경,"(XIII:1.148),(H. 1134)",,
K 438a,摩尼羅亶經,25,472,475,25,T1393,마니라단경,"(XIII:1150),(H. 1133)",,
K 438b,咒時氣病經,,,,,T1326,주시기병경,(XIII:1151),,
K 438c,檀特羅麻油述經,,,,,T1391,단특라마유술경,(XIII:1151),,
K 438d,辟除賊害咒經,,,,,T1406,벽제적해주경,(XIII:1151),,
K 438e,咒小兒經,,,,,T1329,주소아경,(XIII:1152),,
K 438f,咒齒經,,,,,T1327,주치경,(XIII:1152),,
K 438g,咒目經,,,,,T1328,주목경,(XIII:1152),,
K 438h,安宅陀羅尼咒經,,,,,T1029,안택타라니주경,(XIII:1152),,
K 439,元師颰所說神咒經,25,475,475,25,T1378a,원사발소설신주경,"(XIII:1153),(H. 1119)",玄師颰所說神咒經,
K 440,護諸童子陀羅尼經,25,476,477,25,T1028a,호제동자타라니경,"(XIII:1154),(H. 912)",,
K 441,大普賢陀羅尼經,25,478,478,25,T1367,대보현타라니경,"(XIII:1156),(H. 1108)",,
K 442,阿吒婆拘鬼神大將上佛陀羅尼神咒經,25,479,481,25,T1237,아타파구귀신대장상불타라니신주경,"(XIII:1157),(H. 1044)",,
K 443,阿彌陀鼓音聲王陀羅尼經,25,481,482,25,T370,아미타고음성왕타라니경,"(XIII:1159),(H. 357)",,
K 444,諸佛心陀羅尼經,25,483,484,25,T918,제불심타라니경,"(XIII:1161),(H. 845)",,
K 445,八名普密陀羅尼經,25,484,484,25,T1365,발명보밀타라니경,"(XIII:1162),(H. 1106)",,
K 446,拔濟苦難陀羅尼經,25,485,485,25,T1395,발제고난타라니경,"(XIII:1163),(H. 1135)",,
K 447,六門陀羅尼經,25,486,486,25,T1360,육문타라니경,"(XIII:1164),(H. 1360)",,
K 448,持世陀羅尼經,25,487,488,25,T1162,지세타라니경,"(XIII:1165),(H. 1006)",,
K 449,淸淨觀世音普賢陀羅尼經,25,489,491,25,T1038,청정관세음보현타라니경,"(XIIT:1167),(H. 921)",,
K 450,大七寶陀羅尼經,25,492,492,25,T1368,대칠보타라니경,"(XIII:1170),(H. 1109)",,
K 451,六字大陀羅尼呪經,25,492,492,25,T1046,육자대타라니주경,"(XIII:1170),(H. 927)",,
K 452,千佛因緣經,25,493,501,25,T426,천불인,"(XIII:1171),(H. 413)",,
K 453,佛垂般涅槃略說教誡經,25,502,504,25,T389,불수반녈반략설교계경,"(XIII:1180),(H. 375)",,
K 454,隨求卽得大自在陀羅尼神呪經,25,505,511,25,T1154,수구즉득대자재타라니신주경,"(XIII:1183),(H. 1003)",,
K 455,一切功德莊嚴王經,25,512,518,25,T1374,일체공덕장엄왕경,"(XIII:1190),(H. 1116)",,
K 456,拔除罪障咒王經,25,518,519,25,T1396,발제죄장주왕경,"(XIII:1196),(H. 1136)",,
K 457,香王菩薩陀羅尼呪經,25,519,520,25,T1157,향왕보살타라니주경,"(XIII:1197),(H. 1004)",,
K 458,莊嚴王陀羅尼咒經,25,520,521,25,T1375,장엄왕타라니주경,"(XIII:1198),(H. 1116)",,
K 459,善夜經,25,522,523,25,T1362,선야경,"(XIII:1200),(H. 1103)",,
K 460,佛地經,25,523,529,25,T680,불지경,"(XIII:1201),(H. 656)",,
K 461,心明經,25,529,530,25,T569,심명경,"(XIII:1207),(H.551)",,
K 462,鹿母經,25,531,532,25,T182,록모경,"(XIII:1209),(H. 182)",,
K 463,摩逆經,25,533,541,25,T589,마역경,"(XIII:1211),(H. 571)",,
K 464,滅十方冥經,25,542,544,25,T435,멸십방명경,"(XIII:1220),(H. 422)",,
K 465,金剛頂經曼殊室利菩薩五字心陀羅尼品,25,545,549,25,T1173,김강정경만수실리보살오자심타라니품,"(XIII:1223),(H. 1015)",,
K 466,月明菩薩經,25,550,551,25,T169,월명보살경,"(XII:1228),(H.169)",,
K 467,出生菩提心經,25,551,556,25,T837,출생보제심경,"(XIII:1229),(H. 807)",,
K 468,異出菩薩本起經,25,557,561,25,T188,이출보살본기경,"(XIII:1235),(H. 188)",,
K 469,賢首經,25,562,563,25,T570,현수경,"(XIII:1240),(H. 552)",,
K 470,文殊師利般涅槃經,25,563,565,25,T463,문수사리반녈반경,"(XIII:1241),(H. 449)",,
K 471,佛印三昧經,25,565,566,25,T621,불인삼매경,"(XIU:1243),(H. 601)",,
K 472,觀自在如意輪菩薩瑜伽法要,25,567,571,25,T1087,관자재여의륜보살유가법요,(XIII:1245),,
K 473,虛空藏菩薩能滿諸願最勝心陀羅尼求聞持法,25,571,573,25,T1145,허공장보살능만제원최승심타라니구문지법,"(XIII:1249),(H. 997)",,
K 474a,救面然餓鬼陀羅尼神呪經,25,573,574,25,T1314,구면연아귀타라니신주경,"(XIII:1251),(H. 1070)",,
